date,day_number,dph_new_cases,dph_cumulative_cases,dph_new_deaths,dph_cumulative_deaths,dph_total_tested_est,test_positivity,hospitalized_ever,hospitalized_ever_pct,hospitalized_now,hospitalized_now_icu,conf_susp_cases,hospitalized_now_vent,deaths_w_race,pct_deaths_latinx,pct_deaths_white,pct_deaths_asian,pct_deaths_black,pct_deaths_pacisl,pct_deaths_other,dph_cumulative_cases_peh,dph_cumulative_cases_peh_housed,dph_new_deaths_peh,dph_cumulative_deaths_peh,r_effective,r_eff_ci_min,r_eff_ci_max,cases_lac_natam,cases_lac_asian,cases_lac_black,cases_lac_latinx,cases_lac_pacisl,cases_lac_white,cases_lac_other,cases_lac_underinv,deaths_lac_natam,deaths_lac_asian,deaths_lac_black,deaths_lac_latinx,deaths_lac_pacisl,deaths_lac_white,deaths_lac_other,deaths_lac_underinv,saho_icu_nocal,saho_icu_bayarea,saho_icu_grsac,saho_icu_sjv,saho_icu_socal
2020-03-04,1,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,2,4,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,3,2,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,4,1,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,5,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,6,2,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,7,1,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,8,6,27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,9,3,32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,10,8,40,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,11,11,53,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,12,16,69,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,13,25,94,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,14,50,144,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,15,46,190,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,16,40,231,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,17,61,292,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,18,59,351,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,19,71,409,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,20,128,536,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,21,128,662,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,22,138,799,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,23,421,1216,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,24,257,1465,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,25,344,1804,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,26,332,2136,5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,27,342,2474,7,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,28,548,3011,10,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,29,513,3518,11,65,,,733,.20999999,341,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,30,534,4045,13,78,26000,.13,879,.22,241,.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,31,521,4566,11,89,,,1018,.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,32,711,5277,28,117,29000,.14,1168,.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,33,663,5940,15,132,31000,.14,1257,.20999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,34,420,6360,15,147,32000,.14,1366,.20999999,900,.059999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,35,550,6910,22,169,35000,.14,1510,.22,869,.15000001,,,,,,,,,,,,,,,,,,316,283,735,,870,693,3711,,18,16,26,,25,8,71,,,,,
2020-04-08,36,620,7530,29,198,36000,.15000001,1714,.23,1033,,,,,,,,,,,,,,,,,,,334,301,807,,827,747,4133,,,,,,,,,,,,,
2020-04-09,37,425,7955,25,223,38400,.15000001,1894,.23999999,,,,,,,,,,,,,,,,,,,,463,384,1309,,1161,707,3550,,32,23,46,,46,6,59,,,,,
2020-04-10,38,475,8430,18,241,40700,.15000001,2043,.23999999,,,,,,,,,,,,,,,,,,,,526,429,1621,,1292,655,3497,,38,26,51,,54,7,52,,,,,
2020-04-11,39,456,8873,25,265,45000,.14,2172,.23999999,,,,,201,.31999999,.31999999,.2,.13,,.029999999,,,,,,,,,589,460,1869,,1399,661,3462,,40,27,64,,64,6,49,,,,,
2020-04-12,40,323,9192,31,296,47000,.14,2246,.23999999,,,,,240,.33000001,.31999999,.19,.14,,.02,,,,,,,,,632,478,2025,,1445,670,3493,,46,33,79,,77,5,41,,,,,
2020-04-13,41,239,9420,25,320,52000,.13,2354,.25,1059,.18000001,,.15000001,262,.33000001,.33000001,.18000001,.14,,.02,,,,,,,,,673,504,2216,,1524,681,3371,,47,37,87,,87,4,41,,,,,
2020-04-14,42,670,10047,40,360,63000,.11,2517,.25,1433,.33000001,,.2,292,.34,.31999999,.17,.16,,.02,,,,,,,,,713,539,2416,,1610,747,3508,,49,46,98,,93,6,45,,,,,
2020-04-15,43,472,10496,42,402,67500,.11,2704,.25999999,1501,.31,,.19,330,.34,.31,.17,.15000001,,.02,,,,,,,,,756,563,2634,,1732,766,3503,,57,50,112,,103,8,43,,,,,
2020-04-16,44,399,10854,55,455,70000,.11,2847,.25999999,1587,.31999999,,.22,390,.33000001,.31,.17,.16,,.029999999,,,,,,,,,783,590,2818,,1807,766,3527,,67,64,130,,119,10,33,,,,,
2020-04-17,45,567,11391,40,495,74000,.14,3014,.25999999,1624,.33000001,,.2,425,.34,.28999999,.18000001,.16,,.029999999,,,,,,,,,844,630,3066,,1903,790,3554,,75,69,146,,123,12,36,,,,,
2020-04-18,46,642,12021,81,576,76000,.14,3280,.27000001,,,,,498,.36000001,.28999999,.17,.16,,.029999999,,,,,,,,,900,669,3353,,1982,817,3666,,84,79,177,,143,15,38,,,,,
2020-04-19,47,334,12341,24,600,79000,.15000001,3387,.28999999,,,,,528,.36000001,.28999999,.17,.16,,.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,48,1491,13816,17,617,80000,.13,3465,.25,1709,.30000001,,.17,544,.36000001,.28,.17,.16,,.029999999,47,12,,,,,,,953,720,3597,,2071,899,4904,,94,87,194,,155,14,31,,,,,
2020-04-21,49,1400,15140,46,663,89000,.14,3639,.23999999,1739,.31,,.18000001,582,.36000001,.28,.18000001,.16,,.029999999,,,,,,,,,1028,769,3872,,2195,1011,5552,,105,93,207,,162,15,32,,,,,
2020-04-22,50,1318,16435,66,729,91000,.15000001,3902,.23999999,1791,.30000001,,.19,646,.37,.27000001,.18000001,.15000001,,.02,100,55,,,,,,,1078,794,4227,,2293,972,6333,,118,100,237,,176,15,31,,,,,
2020-04-23,51,1081,17508,68,797,99000,.14,4053,.23999999,1854,.28999999,,.19,716,.37,.28,.18000001,.15000001,,.02,100,55,,,,,,,1124,826,4433,,2374,984,7015,,128,107,267,,197,17,26,,,,,
2020-04-24,52,1035,18517,52,848,108000,.15000001,4211,.23999999,1858,.30000001,,.19,771,.37,.28,.18000001,.15000001,.0099999998,.0099999998,,,,,,,,12,1155,844,4634,157,2428,838,7638,1,138,113,282,11,218,8,21,,,,,
2020-04-25,53,607,19107,48,895,115000,.15000001,4319,.23,,,,,820,.37,.28,.18000001,.14,.0099999998,.0099999998,,,,,,,,12,1194,869,4828,160,2479,878,7848,1,149,115,301,11,233,10,17,,,,,
2020-04-26,54,440,19528,18,913,117000,.14,4380,.23,,,,,837,.37,.28,.18000001,.14,.0099999998,.0099999998,,,,,,,,12,1214,879,4908,163,2509,912,8069,1,152,117,311,11,235,10,18,,,,,
2020-04-27,55,900,20417,27,942,124000,.14,4403,.23,1845,.28,,.15000001,865,.37,.28,.18000001,.14,.0099999998,.0099999998,118,68,,,,,,12,1231,882,4960,163,2528,923,8817,1,159,119,321,11,244,10,18,,,,,
2020-04-28,56,597,20976,59,1000,133000,.14,4507,.20999999,,,,,918,.37,.28999999,.18000001,.14,.0099999998,.0099999998,,,,,,,,13,1269,904,5155,171,2581,990,8949,1,167,124,343,10,265,8,17,,,,,
2020-04-29,57,1541,22485,56,1056,139000,.14,4715,.22,1940,.28,,.17,977,.38,.28,.18000001,.14,.0099999998,.0099999998,164,97,1,3,,,,13,1331,950,5418,177,2477,1005,9862,1,179,130,367,12,277,11,10,,,,,
2020-04-30,58,733,23182,55,1111,146000,.14,4813,.22,1962,.28999999,,.19,1020,.38,.28,.19,.13,.0099999998,.0099999998,172,99,,3,,,,13,1394,992,5901,184,2849,1031,9796,1,189,132,388,12,288,10,13,,,,,
2020-05-01,59,1065,24215,62,1172,152000,.14,4880,.20999999,1959,.27000001,,.17,1069,.38,.28999999,.19,.13,.0099999998,.0099999998,182,104,,3,,,,14,1459,1028,6285,187,2932,1063,10174,1,199,139,401,12,305,12,17,,,,,
2020-05-02,60,691,24894,38,1209,158000,.14,4956,.20999999,,,,,1101,.38,.28999999,.19,.13,.0099999998,.0099999998,,,,3,,,,14,1526,1066,6922,189,3057,1069,9931,1,205,139,413,13,318,12,20,,,,,
2020-05-03,61,781,25662,21,1229,159000,.14,4986,.2,,,,,1121,.38,.28999999,.19,.13,.0099999998,.0099999998,,,,3,,,,13,1573,1087,7241,192,3139,1092,10163,1,211,141,421,13,322,12,17,,,,,
2020-05-04,62,568,26217,28,1256,173000,.13,5019,.19,1819,.30000001,,.17,1148,.38,.28999999,.19,.13,.0099999998,.0099999998,196,111,,3,,,,13,1595,1097,7336,193,3185,1146,10453,1,215,144,431,13,332,12,15,,,,,
2020-05-05,63,1638,27815,58,1313,183000,.13,5081,.19,1779,.30000001,,.19,1201,.38,.28,.19,.12,.0099999998,.0099999998,199,109,,3,,,,15,1678,1151,8065,196,3307,1217,10966,1,224,148,461,13,339,15,15,,,,,
2020-05-06,64,851,28644,55,1367,191000,.13,5142,.18000001,1828,.28999999,,.19,1260,.38999999,.28,.19,.12,.0099999998,.0099999998,204,110,,3,,,,15,1721,1185,8241,198,3375,1228,11410,1,234,155,486,13,354,17,8,,,,,
2020-05-07,65,815,29427,51,1418,208000,.12,5238,.19,1826,.28999999,,.16,1309,.38,.28,.18000001,.12,.0099999998,.0099999998,215,119,,3,,,,16,1765,1230,8504,201,3484,1245,11690,1,242,161,503,14,370,18,8,,,,,
2020-05-08,66,883,30296,51,1468,214000,.12,5298,.17,1790,.28999999,,.16,1352,.38999999,.28999999,.18000001,.12,.0099999998,.0099999998,223,135,,3,,,,16,1802,1250,8721,206,3523,1314,12073,1,248,165,520,14,389,15,13,,,,,
2020-05-09,67,1011,31197,44,1512,227000,.12,5363,.17,,,,,1397,.38,.28999999,.19,.12,.0099999998,.0099999998,,,,3,,,,17,1855,1296,9124,207,3621,1303,12345,1,260,173,531,14,402,16,10,,,,,
2020-05-10,68,484,31677,18,1530,234000,.12,5410,.17,,,,,1412,.38,.28999999,.19,.12,.0099999998,.0099999998,,,,3,,,,18,1907,1316,9236,207,3667,1327,12526,1,263,175,539,14,404,16,10,,,,,
2020-05-11,69,591,32258,39,1569,245000,.12,5437,.17,1690,.25999999,,.15000001,1445,.38,.28999999,.18000001,.12,.0099999998,.0099999998,234,131,,3,,,,19,1936,1329,9413,209,3723,1341,12789,1,266,179,552,14,418,15,15,,,,,
2020-05-12,70,961,33180,45,1613,253000,.11,5508,.17,1731,.25999999,,.18000001,1490,.38,.28999999,.18000001,.13,.0099999998,.0099999998,,,,3,,,,20,2009,1367,9882,220,3819,1389,12964,1,271,187,567,15,432,17,13,,,,,
2020-05-13,71,1264,34428,47,1659,263000,.11,5596,.16,1763,.25,,.17,1529,.38,.28999999,.18000001,.12,.0099999998,.0099999998,257,140,,3,,,,20,2088,1405,10430,227,4078,1443,13160,1,275,190,588,15,446,14,16,,,,,
2020-05-14,72,925,35329,51,1709,272000,.11,5660,.16,1742,.25999999,,.19,1573,.38,.28999999,.18000001,.12,.0099999998,.0099999998,261,140,,3,,,,20,2126,1445,11147,252,4255,1452,12931,1,288,193,603,16,457,15,18,,,,,
2020-05-15,73,962,36259,47,1755,282000,.11,5727,.16,1733,.25,,.16,1615,.38,.28999999,.18000001,.12,.0099999998,.0099999998,,,,3,,,,22,2226,1543,11656,252,4311,1471,12959,2,292,199,620,16,469,17,17,,,,,
2020-05-16,74,1073,37303,40,1793,298000,.11,5784,.16,1648,.25999999,,.2,1659,.38999999,.28999999,.18000001,.12,.0099999998,.0099999998,,,,3,,,,24,2385,1562,12368,253,4482,1520,12825,2,299,203,640,16,482,17,14,,,,,
2020-05-17,75,694,37974,29,1821,309000,.11,5816,.16,1648,.25999999,,.19,1688,.38999999,.28999999,.18000001,.12,.0099999998,.0099999998,,,,3,,,,27,2480,1580,12467,256,4514,1542,13153,2,299,207,653,16,493,18,13,,,,,
2020-05-18,76,477,38451,18,1839,350000,.090000004,5835,.15000001,1570,.27000001,,.2,1706,.38999999,.28999999,.18000001,.12,.0099999998,.0099999998,295,156,,3,,,,28,2489,1623,12769,262,4777,1576,12935,2,303,208,659,15,501,18,13,,,,,
2020-05-19,77,1183,39573,76,1913,358000,.090000004,5914,.15000001,1549,.27000001,,.19,1722,.38999999,.28999999,.18000001,.12,.0099999998,.0099999998,300,156,,3,,,,28,2554,1664,13242,261,4884,1598,13335,2,313,218,690,15,514,20,18,,,,,
2020-05-20,78,1324,40857,57,1970,379000,.090000004,5966,.15000001,1531,.28,,.19,1826,.38999999,.28999999,.18000001,.12,.0099999998,.0099999998,314,163,1,7,,,,30,2598,1685,13861,265,5001,1641,13710,2,321,222,715,15,531,20,8,,,,,
2020-05-21,79,1204,42037,46,2016,403000,.090000004,6026,.14,1517,.25999999,,.2,1863,.38999999,.28999999,.17,.12,.0099999998,.0099999998,323,166,,7,,,,31,2645,1720,14197,266,5175,1766,14053,2,324,230,733,15,538,21,11,,,,,
2020-05-22,80,1072,43052,35,2049,412000,.090000004,6093,.14,1506,.25999999,,.19,1892,.38999999,.28999999,.17,.12,.0099999998,.0099999998,326,166,,7,,,,29,2676,1756,14519,267,5257,1856,14407,2,328,232,747,16,546,21,10,,,,,
2020-05-23,81,1032,44055,41,2090,436000,.090000004,6159,.14,1491,.25999999,,.18000001,1929,.38999999,.28999999,.17,.12,.0099999998,.0099999998,,,,7,,,,31,2704,1772,14940,265,5322,2193,14510,2,334,233,759,16,565,20,12,,,,,
2020-05-24,82,940,44988,14,2104,465000,.079999998,6177,.14,1490,.28,,.19,1941,.40000001,.28999999,.17,.12,.0099999998,.0099999998,,,,7,,,,34,2738,1792,15221,272,5400,2446,14701,2,336,233,767,16,567,20,12,,,,,
2020-05-25,83,1047,46018,12,2116,490000,.079999998,6190,.13,1440,.28,,.18000001,1949,.40000001,.28999999,.17,.12,.0099999998,.0099999998,,,,7,,,,37,2776,1833,15377,273,5456,2757,15079,2,337,234,771,16,569,20,12,,,,,
2020-05-26,84,1843,47822,27,2143,514000,.079999998,6195,.13,1443,.28,,.19,1974,.38999999,.28999999,.17,.12,.0099999998,.0099999998,,,,7,,,,39,2826,1863,16123,279,5546,3240,15471,2,343,240,779,16,574,20,14,,,,,
2020-05-27,85,933,48700,53,2195,517000,.079999998,6283,.13,1477,.27000001,,.19,2024,.40000001,.28999999,.17,.12,.0099999998,.0099999998,368,181,,7,,,,41,2841,1874,16285,280,5581,3714,15596,2,354,244,808,17,577,22,14,,,,,
2020-05-28,86,1094,49774,48,2241,531000,.079999998,6350,.13,1477,.27000001,,.19,2062,.40000001,.28999999,.17,.12,.0099999998,.0099999998,,,,7,,,,42,2869,1892,16741,280,5641,4079,15664,2,360,246,825,18,591,20,16,,,,,
2020-05-29,87,1824,51562,50,2290,564000,.079999998,6430,.12,1462,.27000001,,.2,2112,.40000001,.28999999,.17,.12,.0099999998,.0099999998,393,191,,7,,,,45,3005,1986,17279,285,5731,4485,16094,2,369,250,849,17,607,18,15,,,,,
2020-05-30,88,2112,53651,48,2338,580000,.079999998,6486,.13,1415,.28,,.19,2155,.40000001,.28,.18000001,.12,.0099999998,.0099999998,,,,7,,,,50,3057,2044,18167,287,6056,5063,16152,2,379,258,872,16,612,16,16,,,,,
2020-05-31,89,1379,54996,25,2362,598000,.079999998,6514,.12,1402,.28,,.19,2179,.41,.28,.18000001,.12,.0049999999,.0049999999,,,,7,,,,51,3058,2067,18281,289,6080,5486,16814,2,382,259,887,16,616,17,15,,,,,
2020-06-01,90,978,55968,22,2384,611000,.079999998,6528,.12,1357,.28,,.18000001,2200,.41,.28,.17,.12,.0099999998,.0099999998,411,197,4,11,,,,52,3066,2089,18406,292,6117,5843,17228,2,384,263,895,16,622,18,16,,,,,
2020-06-02,91,1202,57118,60,2443,633000,.079999998,6638,.12,1389,.27000001,,.18000001,2258,.41,.28,.17,.12,.0099999998,.0099999998,,,,11,,,,54,3119,2134,18693,301,6277,6301,17315,2,394,265,917,17,643,20,15,,,,,
2020-06-03,92,1155,58234,46,2489,646000,.079999998,6680,.11,1422,.25999999,,.17,2301,.41,.28,.17,.12,.0099999998,.0099999998,,,,11,,,,54,3142,2177,18873,304,6342,6571,17743,2,398,273,935,18,652,23,13,,,,,
2020-06-04,93,1469,59650,44,2531,659000,.079999998,6766,.11,1457,.30000001,,.20999999,2341,.41,.28,.18000001,.12,.0049999999,.0049999999,,,,11,,,,57,3248,2217,19592,293,6523,6724,17935,2,419,278,956,4,658,24,15,,,,,
2020-06-05,94,1445,61045,36,2565,671000,.079999998,6833,.11,1488,.28999999,,.2,2373,.41,.28,.18000001,.12,.0049999999,.0049999999,447,201,2,13,,,,57,3265,2233,19946,290,6567,6875,18684,2,423,279,970,5,670,24,16,,,,,
2020-06-06,95,1329,62338,56,2620,682000,.079999998,6899,.11,1462,.31,,.2,2433,.41,.28,.18000001,.12,.0049999999,.0049999999,,,,13,,,,58,3317,2258,20824,288,6661,7102,18673,2,431,286,998,6,683,27,9,,,,,
2020-06-07,96,1523,63844,25,2645,696000,.079999998,6911,.11,1451,.30000001,,.20999999,2453,.41,.28,.18000001,.12,.0049999999,.0049999999,,,,13,,,,59,3329,2264,21212,289,6699,7366,19418,2,435,289,1005,6,690,26,10,,,,,
2020-06-08,97,823,64644,10,2655,708000,.079999998,6923,.11,1399,.30000001,,.20999999,2463,.41,.28,.18000001,.12,.0049999999,.0049999999,462,205,1,14,,,,59,3339,2275,21916,292,6728,7689,19132,2,436,289,1012,6,692,26,9,,,,,
2020-06-09,98,1225,65822,56,2707,720000,.079999998,6998,.11,1453,.28999999,,.22,2512,.41,.28,.18000001,.12,.0049999999,.0049999999,,,,14,,,,59,3355,2292,22544,294,6793,7918,19298,2,440,296,1026,6,712,30,11,,,,,
2020-06-10,99,1275,67074,61,2768,732000,.079999998,7097,.11,1458,.28999999,,.2,2569,.41,.28,.17,.12,.0099999998,.0099999998,476,206,1,15,,,,60,3376,2323,22872,296,6861,8266,19606,2,445,299,1060,6,728,29,12,,,,,
2020-06-11,100,1857,68875,46,2813,746000,.079999998,7190,.11,1416,.28999999,,.2,2617,.41,.28999999,.17,.12,.0049999999,.0049999999,,,,15,,,,60,3399,2345,23715,298,6936,8363,20308,2,449,303,1078,7,749,29,9,,,,,
2020-06-12,101,1633,70476,20,2832,761000,.079999998,7250,.11,1389,.28999999,,.2,2629,.41,.28999999,.17,.11,.0099999998,.0099999998,488,211,,15,,,,61,3430,2368,24226,303,6991,8734,20828,2,452,302,1088,9,750,26,11,,,,,
2020-06-13,102,1568,72023,58,2890,768000,.090000004,7329,.11,1397,.30000001,,.20999999,2688,.41,.28999999,.17,.11,.0099999998,.0099999998,,,,15,,,,63,3449,2394,24567,306,7067,9023,21561,3,458,306,1113,9,769,30,8,,,,,
2020-06-14,103,1003,73018,17,2907,803000,.079999998,7336,.11,1383,.30000001,,.2,2700,.41,.28999999,.17,.11,.0099999998,.0099999998,,,,15,,,,62,3453,2399,24681,311,7116,9355,22005,3,460,307,1116,9,774,31,9,,,,,
2020-06-15,104,1071,73791,19,2926,825000,.079999998,7337,,1285,.31,,.23999999,2720,.41,.28999999,.17,.11,.0099999998,.0099999998,506,215,1,16,,,,62,3471,2416,25277,313,7134,9699,21778,3,461,309,1128,9,779,31,8,,,,,
2020-06-16,105,1337,75084,33,2959,841000,.079999998,7400,,1288,.31,,.25,2748,.41999999,.28,.17,.11,.0099999998,.0099999998,,,,16,,,,62,3494,2442,26039,316,7193,9906,21950,3,464,311,1144,9,783,34,13,,,,,
2020-06-17,106,2129,77189,34,2991,853000,.079999998,7481,,1420,.28,,.22,2779,.41999999,.28999999,.17,.11,.0049999999,.0049999999,520,220,,16,,,,64,3512,2467,26316,316,7273,10347,23124,3,469,313,1158,9,795,32,12,,,,,
2020-06-18,107,1051,78227,36,3027,868000,.079999998,7563,,1429,.28999999,,.22,2807,.41999999,.28999999,.17,.11,.0049999999,.0049999999,,,,16,,,,62,3523,2478,26494,314,7313,10626,23551,3,471,316,1169,9,805,34,18,,,,,
2020-06-19,108,1414,79609,38,3063,890000,.079999998,7632,,1446,.28999999,,.20999999,2844,.41999999,.28999999,.17,.11,.0049999999,.0049999999,548,222,,16,,,,63,3537,2506,26721,316,7368,11048,24063,3,476,319,1188,9,818,31,17,,,,,
2020-06-20,109,2056,81636,48,3110,916000,.079999998,7713,,1406,.28999999,,.22,2892,.41999999,.28999999,.17,.11,.0049999999,.0049999999,,,,,,,,64,3569,2535,27017,317,7440,11478,25162,3,480,321,1216,9,831,32,13,,,,,
2020-06-21,110,1784,83397,11,3120,945000,.079999998,7727,,1426,.28999999,,.20999999,2900,.41999999,.28999999,.17,.11,.0049999999,.0049999999,,,,,,,,64,3584,2547,27148,319,7491,11842,26275,3,480,321,1223,9,832,32,13,,,,,
2020-06-22,111,2571,85942,18,3137,960000,.079999998,7738,,1453,.28,,.19,2918,.41999999,.28999999,.17,.11,.0049999999,.0049999999,571,231,,,.94,.82999998,1.03,65,3616,2579,27354,329,7581,12586,27688,3,484,324,1231,9,835,32,11,,,,,
